sPOMS,aPOMS
hsa-miR-548e-3p,hsa-mir-3670-2
hsa-mir-548f-4,hsa-miR-3116
hsa-miR-548f-3p,hsa-miR-106b-5p
hsa-mir-548f-3,hsa-mir-4436b-2
hsa-mir-548f-3,hsa-mir-7108
