,0
0,hsa-miR-127-3p
1,hsa-mir-4500
2,hsa-miR-607
3,hsa-miR-2276-5p
4,hsa-miR-487a-5p
5,hsa-miR-10b-5p
6,hsa-mir-5003
7,hsa-miR-4316
8,hsa-miR-18a-3p
9,hsa-mir-875
