sPOMS,aPOMS
hsa-mir-548d-1,hsa-mir-4493
hsa-mir-548f-2,hsa-mir-550b-2
hsa-mir-548f-1,hsa-miR-362-5p
hsa-mir-548f-1,hsa-miR-5585-5p
hsa-miR-548e-5p,hsa-miR-4703-3p
